"filename", "language", "TypeScript", "JavaScript", "JSON", "Markdown", "TypeScript JSX", "JSON with Comments", "CSS", "comment", "blank", "total"
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 166, 0, 0, 6, 18, 190
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\students\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 50, 0, 0, 1, 7, 58
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\students\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 141, 0, 0, 2, 16, 159
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\students\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\students\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 1, 3, 42
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\students\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 111, 0, 0, 6, 10, 127
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\teachers\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 1, 7, 57
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\teachers\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 197, 0, 0, 3, 15, 215
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\teachers\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\teachers\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 1, 3, 42
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\teachers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 108, 0, 0, 6, 10, 124
"c:\Users\J4Y\Desktop\kamusinde\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 117, 0, 6, 123
"c:\Users\J4Y\Desktop\kamusinde\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 5, 5, 39
"c:\Users\J4Y\Desktop\kamusinde\src\components\AlumniEvents.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 10, 5, 88
"c:\Users\J4Y\Desktop\kamusinde\src\components\FaqSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 1, 5, 115
"c:\Users\J4Y\Desktop\kamusinde\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 57, 0, 0, 3, 3, 63
"c:\Users\J4Y\Desktop\kamusinde\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 239, 0, 0, 21, 12, 272
"c:\Users\J4Y\Desktop\kamusinde\src\components\NewsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 115, 0, 0, 1, 5, 121
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\DashboardHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 135, 0, 0, 6, 11, 152
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\DashboardSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 245, 0, 0, 9, 24, 278
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\RecentActivityList.tsx", "TypeScript JSX", 0, 0, 0, 0, 93, 0, 0, 1, 3, 97
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\StatsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 3, 59
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\UpcomingEventsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 87, 0, 0, 1, 4, 92
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\attendance\AttendanceForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 185, 0, 0, 0, 18, 203
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\attendance\AttendanceStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 306, 0, 0, 0, 22, 328
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\attendance\AttendanceTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 258, 0, 0, 2, 13, 273
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\attendance\ClassAttendanceForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 498, 0, 0, 11, 43, 552
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\classes\ClassForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 394, 0, 0, 15, 34, 443
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\classes\ClassTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 309, 0, 0, 5, 21, 335
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\classes\CourseAssignment.tsx", "TypeScript JSX", 0, 0, 0, 0, 192, 0, 0, 6, 20, 218
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\classes\StudentAssignment.tsx", "TypeScript JSX", 0, 0, 0, 0, 196, 0, 0, 5, 20, 221
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\courses\CourseForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 539, 0, 0, 12, 32, 583
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\courses\CourseTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 315, 0, 0, 5, 15, 335
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\exams\ExamForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 358, 0, 0, 2, 32, 392
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\exams\ExamResultForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 156, 0, 0, 0, 18, 174
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\exams\ExamResultsStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 136, 0, 0, 0, 10, 146
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\exams\ExamResultsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 193, 0, 0, 0, 9, 202
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\exams\ExamTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 184, 0, 0, 0, 7, 191
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\exams\StudentExamResults.tsx", "TypeScript JSX", 0, 0, 0, 0, 163, 0, 0, 0, 12, 175
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\students\StudentForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 467, 0, 0, 11, 28, 506
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\students\StudentTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 316, 0, 0, 5, 15, 336
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\students\tabs\AcademicTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 333, 0, 0, 7, 20, 360
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\students\tabs\AttendanceTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 421, 0, 0, 6, 23, 450
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\students\tabs\DisciplinaryTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 558, 0, 0, 7, 22, 587
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\students\tabs\FeesTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 614, 0, 0, 8, 24, 646
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\teachers\TeacherForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 550, 0, 0, 11, 35, 596
"c:\Users\J4Y\Desktop\kamusinde\src\components\dashboard\teachers\TeacherTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 330, 0, 0, 5, 15, 350
"c:\Users\J4Y\Desktop\kamusinde\src\components\login-btn.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"c:\Users\J4Y\Desktop\kamusinde\src\components\providers\NextAuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 2, 4, 15
"c:\Users\J4Y\Desktop\kamusinde\src\components\providers\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 70, 0, 0, 0, 19, 89
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 143, 0, 0, 0, 15, 158
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 7, 67
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 6, 47
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 6, 60
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 5, 76
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 10, 93
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 165, 0, 0, 0, 13, 178
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 14, 136
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 239, 0, 0, 0, 19, 258
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 143, 0, 0, 0, 25, 168
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
